     92501	    1273	     100
     92501	    1273	     200
     92501	    1273	     900
     92501	    1273	     200
     92501	    1273	     800
     92501	    1273	     500
     92501	    1273	   -1500
     92501	    1273	    -303
     92501	    1273	     429
     92501	    1273	    -100
     92501	    1273	     -68
     92501	    1273	     132
     92501	    1273	     168
     92501	    1273	     832
     92501	    1273	      65
     92501	    1273	     800
     92501	    1273	    1303
     92501	    1273	    -200
     92501	    1273	    1200
     92501	    1273	   -3000
     92501	    1273	     200
     92501	    1273	    3097
     92501	    1273	     300
     92501	    1273	     503
     92501	    1273	    -100
     92501	    1273	   -7397
     92501	    1273	   -6000
     92501	    1273	    -100
     92501	    1273	   -4203
     92501	    1273	    -500
     92501	    1273	   -1000
     92501	    1273	    -200
     92501	    1273	    -200
     92501	    1273	    -500
     92501	    1273	    -400
     92501	    1273	    -200
     92501	    1273	   -2000
     92501	    1273	    -797
     92501	    1273	   -1300
     92501	    1273	   -1000
     92501	    1273	   -1000
     93001	    1274	    1000
     93001	    1274	    1400
     93001	    1274	    -600
     93001	    1273	    -400
     93001	    1273	    -800
     93001	    1274	   -1000
     93002	    1274	    -400
     93002	    1274	   -1700
     93002	    1274	    -100
     93002	    1274	    -500
     93002	    1274	    -200
     93002	    1274	  -10000
     93003	    1274	   -1000
     93003	    1274	   -2200
     93003	    1274	   -9400
     93003	    1274	   -1000
     93003	    1274	   -1500
     93003	    1274	    -100
     93003	    1273	  -14703
     93003	    1273	    -800
     93003	    1273	    -100
     93003	    1273	   -2000
     93003	    1273	    -100
     93003	    1273	   -2000
     93003	    1273	   -2400
     93003	    1273	    -200
     93003	    1273	  -11100
     93003	    1273	    1600
     93003	    1273	    9900
     93004	    1273	     600
     93004	    1273	    5097
     93004	    1273	    1000
     93004	    1273	   11003
     93005	    1273	    5000
     93006	    1273	   10100
     93008	    1273	    1000
     93010	    1273	    2100
     93015	    1273	     797
     93015	    1273	     100
     93015	    1273	     603
     93016	    1272	   -2000
     93016	    1272	    -200
